Index,file,Spectral Points,Tgas,Tref,Trot,Tvib,add_at_used,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,export_rovib_fraction,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,parsum_mode,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding,1+wL*wG,Complexity_voigt,complexity_final_voigt
7,20210807_Tvib300K_Trot300K_7.spec,230000.0,300,296,300,300,cython,300,voigt,0.6348309516906739,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628349107.0354302,radis,60000,0,0,0,1,1,CO,CO_2000_4000_60000_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.000431060791015625, 'reinitialize': {'copy_database': 0.004619598388671875, 'memory_usage_warning': 0.002505064010620117, 'reset_population': 3.314018249511719e-05, 'value': 0.007179975509643555}, 'scaled_eq_linestrength': 0.008437871932983398, 'calc_lineshift': 0.001073598861694336, 'calc_hwhm': 0.0235137939453125, 'generate_wavenumber_arrays': 0.005513906478881836, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.04237508773803711, 'DLM_Initialized_vectors': 1.33514404296875e-05, 'DLM_closest_matching_line': 0.005699872970581055, 'DLM_Distribute_lines': 0.028369665145874023, 'DLM_convolve': 0.497730016708374, 'value': 0.5777838230133057}, 'calc_other_spectral_quan': 0.010777950286865234, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,115755,boltzmann,6,5,0.01,0.01,4000,4150,2000,1850,cm-1,0.01,230002,,88025800.61176503,0.6450877270665594
8,20210807_Tvib300K_Trot300K_8.spec,430000.0,300,296,300,300,cython,300,voigt,0.964441061019897,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628349110.49144,radis,60000,0,0,0,1,1,CO,CO_2000_6000_60000_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0003695487976074219, 'reinitialize': {'copy_database': 0.0037224292755126953, 'memory_usage_warning': 0.0019032955169677734, 'reset_population': 3.743171691894531e-05, 'value': 0.005686759948730469}, 'scaled_eq_linestrength': 0.006834506988525391, 'calc_lineshift': 0.0007622241973876953, 'calc_hwhm': 0.0213773250579834, 'generate_wavenumber_arrays': 0.010178565979003906, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.045700788497924805, 'DLM_Initialized_vectors': 1.52587890625e-05, 'DLM_closest_matching_line': 0.004302024841308594, 'DLM_Distribute_lines': 0.021551847457885742, 'DLM_convolve': 0.8254570960998535, 'value': 0.8994765281677246}, 'calc_other_spectral_quan': 0.019643068313598633, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,210572,boltzmann,6,5,0.01,0.01,6000,6150,2000,1850,cm-1,0.01,430001,,172910634.7006377,1.2550298496353622
9,20210807_Tvib300K_Trot300K_9.spec,630000.0,300,296,300,300,cython,300,voigt,1.8608512878418002,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628349115.61945,radis,60000,0,0,0,1,1,CO,CO_2000_8000_60000_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0003364086151123047, 'reinitialize': {'copy_database': 0.0039212703704833984, 'memory_usage_warning': 0.0015850067138671875, 'reset_population': 3.0517578125e-05, 'value': 0.005557060241699219}, 'scaled_eq_linestrength': 0.006505489349365234, 'calc_lineshift': 0.0011086463928222656, 'calc_hwhm': 0.037363529205322266, 'generate_wavenumber_arrays': 0.013586759567260742, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.05145692825317383, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.004238605499267578, 'DLM_Distribute_lines': 0.028036832809448242, 'DLM_convolve': 1.679030179977417, 'value': 1.7659986019134521}, 'calc_other_spectral_quan': 0.03023815155029297, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,301576,boltzmann,6,5,0.01,0.01,8000,8150,2000,1850,cm-1,0.01,630001,,260793368.67112148,1.886513457637525
10,20210807_Tvib300K_Trot300K_10.spec,830000.0,300,296,300,300,cython,300,voigt,2.04626059532166,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628349121.51946,radis,60000,0,0,0,1,1,CO,CO_2000_10000_60000_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00030303001403808594, 'reinitialize': {'copy_database': 0.003969430923461914, 'memory_usage_warning': 0.0015668869018554688, 'reset_population': 3.361701965332031e-05, 'value': 0.005590200424194336}, 'scaled_eq_linestrength': 0.007652759552001953, 'calc_lineshift': 0.0008616447448730469, 'calc_hwhm': 0.03467679023742676, 'generate_wavenumber_arrays': 0.015053987503051758, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.043410301208496094, 'DLM_Initialized_vectors': 1.0013580322265625e-05, 'DLM_closest_matching_line': 0.004586458206176758, 'DLM_Distribute_lines': 0.02236771583557129, 'DLM_convolve': 1.873401165008545, 'value': 1.9466180801391602}, 'calc_other_spectral_quan': 0.03536701202392578, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,389355,boltzmann,6,5,0.01,0.01,10000,10150,2000,1850,cm-1,0.01,830001,,350678826.60955364,2.5323876893717308
11,20210807_Tvib300K_Trot300K_11.spec,1030000.0,300,296,300,300,cython,300,voigt,2.77001190185547,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628349129.25548,radis,60000,0,0,0,1,1,CO,CO_2000_12000_60000_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00031447410583496094, 'reinitialize': {'copy_database': 0.0033392906188964844, 'memory_usage_warning': 0.0016374588012695312, 'reset_population': 3.743171691894531e-05, 'value': 0.005035877227783203}, 'scaled_eq_linestrength': 0.006627321243286133, 'calc_lineshift': 0.0007810592651367188, 'calc_hwhm': 0.04101991653442383, 'generate_wavenumber_arrays': 0.021225690841674805, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.0459291934967041, 'DLM_Initialized_vectors': 1.1444091796875e-05, 'DLM_closest_matching_line': 0.006438493728637695, 'DLM_Distribute_lines': 0.02388739585876465, 'DLM_convolve': 2.5548019409179688, 'value': 2.6350550651550293}, 'calc_other_spectral_quan': 0.05982041358947754, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,471366,boltzmann,6,5,0.01,0.01,12000,12150,2000,1850,cm-1,0.01,1030001,,442073064.67137176,3.18910329884821
12,20210807_Tvib300K_Trot300K_12.spec,1230000.0,300,296,300,300,cython,300,voigt,3.42801427841187,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628349138.36351,radis,60000,0,0,0,1,1,CO,CO_2000_14000_60000_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0004096031188964844, 'reinitialize': {'copy_database': 0.0038993358612060547, 'memory_usage_warning': 0.0015745162963867188, 'reset_population': 3.1948089599609375e-05, 'value': 0.0055255889892578125}, 'scaled_eq_linestrength': 0.007116794586181641, 'calc_lineshift': 0.0007932186126708984, 'calc_hwhm': 0.04333138465881348, 'generate_wavenumber_arrays': 0.031478166580200195, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.06230473518371582, 'DLM_Initialized_vectors': 1.0251998901367188e-05, 'DLM_closest_matching_line': 0.006592512130737305, 'DLM_Distribute_lines': 0.0233004093170166, 'DLM_convolve': 3.190478563308716, 'value': 3.2864151000976562}, 'calc_other_spectral_quan': 0.05283021926879883, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,543823,boltzmann,6,5,0.01,0.01,14000,14150,2000,1850,cm-1,0.01,1230001,,534678867.8538021,3.854524640146263
13,20210807_Tvib300K_Trot300K_13.spec,1430000.0,300,296,300,300,cython,300,voigt,2.7036528587341295,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628349147.07553,radis,60000,0,0,0,1,1,CO,CO_2000_16000_60000_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00028324127197265625, 'reinitialize': {'copy_database': 0.003122568130493164, 'memory_usage_warning': 0.0015671253204345703, 'reset_population': 3.147125244140625e-05, 'value': 0.004739046096801758}, 'scaled_eq_linestrength': 0.006785154342651367, 'calc_lineshift': 0.0007681846618652344, 'calc_hwhm': 0.04043865203857422, 'generate_wavenumber_arrays': 0.029393672943115234, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.04448699951171875, 'DLM_Initialized_vectors': 9.5367431640625e-06, 'DLM_closest_matching_line': 0.006640434265136719, 'DLM_Distribute_lines': 0.02548813819885254, 'DLM_convolve': 2.4781618118286133, 'value': 2.5589394569396973}, 'calc_other_spectral_quan': 0.06220579147338867, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,597654,boltzmann,6,5,0.01,0.01,16000,16150,2000,1850,cm-1,0.01,1430001,,628297291.1491259,4.52722218888047
42,20210807_Tvib300K_Trot300K_28.spec,5000.0,300,296,300,300,cython,300,voigt,0.03652763366699201,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628343718.99785,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002453327178955078, 'reinitialize': {'copy_database': 0.0003921985626220703, 'memory_usage_warning': 0.0012240409851074219, 'reset_population': 2.9802322387695312e-05, 'value': 0.0016608238220214844}, 'scaled_eq_linestrength': 0.005503654479980469, 'calc_lineshift': 0.0007340908050537109, 'calc_hwhm': 0.016293764114379883, 'generate_wavenumber_arrays': 0.0005366802215576172, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.004189968109130859, 'DLM_Initialized_vectors': 7.3909759521484375e-06, 'DLM_closest_matching_line': 0.0009455680847167969, 'DLM_Distribute_lines': 0.0004875659942626953, 'DLM_convolve': 0.004818439483642578, 'value': 0.010618925094604492}, 'calc_other_spectral_quan': 0.0008616447448730469, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.08,5001,,681375.4553132991,0.008928360670003339
43,20210807_Tvib300K_Trot300K_29.spec,5714.28571428571,300,296,300,300,cython,300,voigt,0.054357290267944,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628343719.12185,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00024890899658203125, 'reinitialize': {'copy_database': 0.0006587505340576172, 'memory_usage_warning': 0.001252889633178711, 'reset_population': 3.24249267578125e-05, 'value': 0.0019593238830566406}, 'scaled_eq_linestrength': 0.00559687614440918, 'calc_lineshift': 0.00072479248046875, 'calc_hwhm': 0.032695770263671875, 'generate_wavenumber_arrays': 0.00045943260192871094, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.004309415817260742, 'DLM_Initialized_vectors': 1.430511474609375e-05, 'DLM_closest_matching_line': 0.0011987686157226562, 'DLM_Distribute_lines': 0.00045990943908691406, 'DLM_convolve': 0.005620241165161133, 'value': 0.011881828308105469}, 'calc_other_spectral_quan': 0.0007131099700927734, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.07,5001,,790923.3905408689,0.009715520129675213
44,20210807_Tvib300K_Trot300K_30.spec,6666.66666666667,300,296,300,300,cython,300,voigt,0.05556559562683099,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628343719.26985,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00026106834411621094, 'reinitialize': {'copy_database': 0.0011110305786132812, 'memory_usage_warning': 0.0012798309326171875, 'reset_population': 3.0517578125e-05, 'value': 0.002437591552734375}, 'scaled_eq_linestrength': 0.015462160110473633, 'calc_lineshift': 0.0015006065368652344, 'calc_hwhm': 0.02069544792175293, 'generate_wavenumber_arrays': 0.0004832744598388672, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.005849123001098633, 'DLM_Initialized_vectors': 9.298324584960938e-06, 'DLM_closest_matching_line': 0.0008900165557861328, 'DLM_Distribute_lines': 0.0004417896270751953, 'DLM_convolve': 0.006603717803955078, 'value': 0.014013290405273438}, 'calc_other_spectral_quan': 0.0006353855133056641, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.06,5001,,939186.694812589,0.01078086985294706
